dataset,config,validity_rate,l2_norm_mean,n_components_changed_mean,elapsed_mean
CBF,imfact_baseline,0.9666666666666668,9.101183859507245,3.633333333333333,0.0120224396387736
CBF,hungarian_matching,1.0,8.181992030143737,2.5,0.0080809672673543
CBF,composite_reference,0.7666666666666667,9.328372073173522,3.1666666666666665,0.0149411519368489
CBF,fourier_decomposition,0.6666666666666666,11.43620743751526,2.2666666666666666,0.008401068051656
ECG5000,imfact_baseline,0.7,8.779038365681966,3.7666666666666666,0.0155513525009155
ECG5000,hungarian_matching,0.7333333333333333,8.340909624099732,3.433333333333333,0.0159179210662841
ECG5000,composite_reference,0.3666666666666666,7.895619328816732,3.4,0.0148404995600382
ECG5000,fourier_decomposition,0.5333333333333333,11.582457081476848,2.8666666666666667,0.0083323637644449
FordA,imfact_baseline,1.0,22.232510344187418,4.633333333333334,0.0117010434468587
FordA,hungarian_matching,1.0,23.693428548177085,3.3,0.0116825819015502
FordA,composite_reference,0.8333333333333334,24.908650056521097,2.7666666666666666,0.015335456530253
FordA,fourier_decomposition,0.8333333333333334,24.26732680002848,2.4,0.0111150741577148
YOGA,imfact_baseline,1.0,13.261063539981842,2.4,0.0156100670496622
YOGA,hungarian_matching,1.0,12.219899940490723,1.7333333333333334,0.0171723445256551
YOGA,composite_reference,0.7666666666666667,14.096257575352986,1.8666666666666667,0.0205774943033854
YOGA,fourier_decomposition,0.7,7.14345508813858,2.3,0.0132148424784342
TWOPATTERNS,imfact_baseline,1.0,11.111439259847003,4.4,0.0107856671015421
TWOPATTERNS,hungarian_matching,1.0,11.573518101374308,2.7666666666666666,0.0099180857340494
TWOPATTERNS,composite_reference,0.7666666666666667,12.339618094762166,2.7666666666666666,0.0181779940923055
TWOPATTERNS,fourier_decomposition,1.0,13.678824122746786,2.2333333333333334,0.0097666501998901
