sample_idx,config,true_label,pred_orig,target_class,pred_cf,l2_norm,normalized_distance,sparsity_pct,n_components_changed,range_validity,autocorr,temporal_consistency,confidence,validity,elapsed,n_iter,error
18,imfact_baseline,0,0,2,2,11.021699905395508,0.3161798157319973,0.0,5,0.921875,0.9981609750845052,1.0,0.47511938214302063,1.0,0.02463841438293457,5,
18,hungarian_matching,0,0,2,2,11.358733177185059,0.32584829869602777,0.0,4,0.8359375,0.9970949509454142,1.0,0.4752156436443329,1.0,0.008399009704589844,4,
18,composite_reference,0,0,2,2,11.151721954345703,0.3199097619137151,0.0,4,0.8984375,0.99753615248201,1.0,0.46790796518325806,1.0,0.013912439346313477,4,
18,fourier_decomposition,0,0,2,2,8.722209930419922,0.25021428202975615,0.0,1,0.9296875,0.9942092045034819,1.0,0.47186678647994995,1.0,0.008903741836547852,1,
370,imfact_baseline,0,0,1,1,9.497568130493164,0.27558262654056537,0.0,5,1.0,0.9956898237147018,1.0,0.4735737144947052,1.0,0.015446662902832031,5,
370,hungarian_matching,0,0,1,1,11.283180236816406,0.32739417108356184,0.0,1,0.65625,0.999584598419071,1.0,0.47493091225624084,1.0,0.0076410770416259766,1,
370,composite_reference,0,0,1,1,12.217313766479492,0.35449910658990974,0.0,2,0.671875,0.999548735577022,1.0,0.47530949115753174,1.0,0.012113809585571289,2,
370,fourier_decomposition,0,0,1,1,8.526190757751465,0.24739701901828154,0.0,2,0.9375,0.9901418636874505,1.0,0.42317497730255127,1.0,0.0071790218353271484,2,
403,imfact_baseline,0,0,1,1,11.12300968170166,0.32790823141903275,0.0,6,0.9140625,0.9989993681062975,1.0,0.4751914143562317,1.0,0.010622024536132812,6,
403,hungarian_matching,0,0,1,1,10.89979076385498,0.32132769947085077,0.0,5,0.7421875,0.9973618364585154,1.0,0.4752809405326843,1.0,0.009365320205688477,5,
403,composite_reference,0,0,1,0,10.756278991699219,0.3170969478359922,0.0,5,0.78125,0.9970788535860929,1.0,0.3292897641658783,0.0,0.029616594314575195,6,
403,fourier_decomposition,0,0,1,1,10.692062377929688,0.31520383105811806,0.0,2,0.8984375,0.9991636511131687,1.0,0.4716229736804962,1.0,0.011519193649291992,2,
419,imfact_baseline,1,1,0,0,11.897130012512207,0.3391181546426912,0.0,5,0.96875,0.9998670892884269,1.0,0.47523269057273865,1.0,0.011793851852416992,5,
419,hungarian_matching,1,1,0,0,11.836161613464355,0.3373802992981768,0.0,1,0.8359375,0.9998866487709286,1.0,0.4750436544418335,1.0,0.01022195816040039,1,
419,composite_reference,1,1,0,0,11.836161613464355,0.3373802992981768,0.0,1,0.8359375,0.9998866487709286,1.0,0.4750436544418335,1.0,0.013268709182739258,1,
419,fourier_decomposition,1,1,0,0,7.815018653869629,0.2227608424562266,0.0,1,0.9296875,0.9941643234244079,1.0,0.4703387916088104,1.0,0.008131265640258789,1,
556,imfact_baseline,1,1,0,0,11.128451347351074,0.33099269798347686,0.0,5,1.0,0.9997700322396937,1.0,0.4751424789428711,1.0,0.008702278137207031,5,
556,hungarian_matching,1,1,0,0,11.34934139251709,0.33756261411332494,0.0,3,0.859375,0.9998142725030056,1.0,0.4750613570213318,1.0,0.008301019668579102,3,
556,composite_reference,1,1,0,0,10.113622665405273,0.30080872422613897,0.0,1,0.9375,0.9894185489808938,1.0,0.3902931809425354,1.0,0.017456531524658203,1,
556,fourier_decomposition,1,1,0,0,21.25703239440918,0.6322463282388735,0.0,2,0.8828125,0.879137640741646,1.0,0.4731596112251282,1.0,0.009362459182739258,2,
604,imfact_baseline,3,3,2,2,10.594647407531738,0.2642110519195926,0.0,5,1.0,0.9975934932717292,1.0,0.4748627543449402,1.0,0.010333061218261719,5,
604,hungarian_matching,3,3,2,2,12.18772029876709,0.30393936454646264,0.0,4,0.75,0.999839389040645,1.0,0.47470688819885254,1.0,0.009595155715942383,4,
604,composite_reference,3,3,2,2,11.741805076599121,0.29281905771754424,0.0,5,0.9375,0.8797275822400565,1.0,0.4144822955131531,1.0,0.02096414566040039,5,
604,fourier_decomposition,3,3,2,2,28.633567810058594,0.7140686027860058,0.0,4,0.84375,0.8880187524227964,1.0,0.47366297245025635,1.0,0.012134313583374023,4,
781,imfact_baseline,2,2,3,3,11.294624328613281,0.33016805962463214,0.0,5,1.0,0.9995843066998316,1.0,0.47508686780929565,1.0,0.011957168579101562,5,
781,hungarian_matching,2,2,3,3,8.949090957641602,0.2616026802594538,0.0,1,0.71875,0.9991768493908145,1.0,0.4246315062046051,1.0,0.010474681854248047,1,
781,composite_reference,2,2,3,3,11.566839218139648,0.3381255320700117,0.0,1,0.9765625,0.4926916189438619,1.0,0.4587441384792328,1.0,0.026470184326171875,1,
781,fourier_decomposition,2,2,3,3,23.26694679260254,0.6801468072242037,0.0,3,0.8671875,0.9318341026771829,1.0,0.4547105133533478,1.0,0.008173704147338867,3,
863,imfact_baseline,1,1,0,0,11.89319896697998,0.30947330954515023,0.0,5,1.0,0.9973515090795718,1.0,0.4737648367881775,1.0,0.009205102920532227,5,
863,hungarian_matching,1,1,0,0,11.77549934387207,0.3064106438993007,0.0,4,0.8984375,0.9625520488465976,1.0,0.4742233455181122,1.0,0.010441064834594727,4,
863,composite_reference,1,1,0,0,11.662882804870605,0.3034802453470638,0.0,1,1.0,0.666994047589221,1.0,0.3373298943042755,1.0,0.013887643814086914,1,
863,fourier_decomposition,1,1,0,0,14.17921257019043,0.36895774240589263,0.0,2,0.84375,0.9100241249313585,1.0,0.47484290599823,1.0,0.00864553451538086,2,
1020,imfact_baseline,1,1,0,0,10.763447761535645,0.317559771837667,0.0,5,1.0,0.9905745726736979,1.0,0.47515979409217834,1.0,0.010655641555786133,5,
1020,hungarian_matching,1,1,0,0,11.848535537719727,0.34957369844027975,0.0,2,0.734375,0.9986107498441559,1.0,0.4664459228515625,1.0,0.008035659790039062,2,
1020,composite_reference,1,1,0,0,11.848535537719727,0.34957369844027975,0.0,2,0.734375,0.9986107498441559,1.0,0.4664459228515625,1.0,0.021938323974609375,2,
1020,fourier_decomposition,1,1,0,0,6.943437099456787,0.20485594856996858,0.0,1,0.90625,0.9968108576247746,1.0,0.3919023871421814,1.0,0.007670879364013672,1,
1091,imfact_baseline,0,0,2,2,13.807679176330566,0.403356319966918,0.0,3,0.6328125,0.996956524945587,1.0,0.4700406789779663,1.0,0.00858449935913086,3,
1091,hungarian_matching,0,0,2,2,9.088456153869629,0.2654961910390913,0.0,1,0.921875,0.99784195835296,1.0,0.466074675321579,1.0,0.008738517761230469,1,
1091,composite_reference,0,0,2,2,9.088456153869629,0.2654961910390913,0.0,1,0.921875,0.99784195835296,1.0,0.466074675321579,1.0,0.015134334564208984,1,
