method,validity_rate,validity_rate_std,avg_confidence,std_confidence,avg_l2_distance,std_l2_distance,avg_euclidean_dist_zscore,std_euclidean_dist_zscore,avg_manhattan_distance,std_manhattan_distance,avg_pct_changed,std_pct_changed,avg_normalized_distance,std_normalized_distance,avg_l0_norm,std_l0_norm,avg_compactness,std_compactness,avg_temporal_consistency,std_temporal_consistency,avg_range_validity,std_range_validity,avg_autocorr_preservation,std_autocorr_preservation,avg_validity,std_validity,avg_sparsity,std_sparsity,avg_keane_validity,std_keane_validity,avg_keane_proximity,std_keane_proximity,avg_keane_compactness,std_keane_compactness,avg_time,std_time,avg_n_iter,std_n_iter
distance_n1_cycle,100.0,0.0,0.6248168647289276,0.12382603194836132,19.239816904067993,7.951830237217473,105.09936237335205,44.40452268855324,888.2889060974121,381.50365623436517,99.99755859375,0.006905339660024878,0.12010676405652418,0.047974548613118645,5119.875,0.3535533905932738,0.09404296875,0.1351163671414509,1.0,0.0,0.9310058593749999,0.027749844387408552,0.6740920023997994,0.250287444384574,1.0,0.0,2.441406250000555e-05,6.905339660026449e-05,1.0,0.0,19.239816904067993,7.951830237217473,0.09404296875,0.1351163671414509,0.5381806194782257,0.2035399152855365,23.5,8.017837257372731
distance_n2_cycle,100.0,0.0,0.6556119546294212,0.12020631596184861,18.834932923316956,7.96740199044983,101.8563665151596,40.92685954791472,867.0306444168091,384.39342962433597,99.9951171875,0.009041211911841323,0.11669485311255334,0.045288596822111914,5119.75,0.4629100498862757,0.100634765625,0.1502330150901186,1.0,0.0,0.932421875,0.025459641776250496,0.6824683547074972,0.26682396440048495,1.0,0.0,4.88281250000111e-05,9.041211911843377e-05,1.0,0.0,18.834932923316956,7.96740199044983,0.100634765625,0.1502330150901186,0.5131922662258148,0.13923589197242975,24.125,8.184261900571295
distance_n3_cycle,100.0,0.0,0.7307008653879166,0.1261849704640278,19.60279530286789,8.39254401322761,106.09533226490021,44.166298239180385,893.2111806869507,398.25933920598214,100.0,0.0,0.12133496914110926,0.04782959275881043,5120.0,0.0,0.11279296875,0.18495249605963315,1.0,0.0,0.9282470703125001,0.0275504261754339,0.6625078887348608,0.355489847883404,1.0,0.0,0.0,0.0,1.0,0.0,19.60279530286789,8.39254401322761,0.11279296875,0.18495249605963315,0.4965992271900177,0.14545446378264834,24.5,8.228869042236953
distance_n5_cycle,100.0,0.0,0.6411094143986702,0.13171319599600864,19.370978087186813,8.237365901902102,104.90466964244843,43.287101764322465,889.4269409179688,399.9836711421784,100.0,0.0,0.12008481487574738,0.047372380586104976,5120.0,0.0,0.107568359375,0.163395645630007,1.0,0.0,0.928759765625,0.027690079928953233,0.6139226936950395,0.35653758864423485,1.0,0.0,0.0,0.0,1.0,0.0,19.370978087186813,8.237365901902102,0.107568359375,0.163395645630007,0.6169922649860382,0.2653287259278039,24.125,8.061150219239366
variance_n1_cycle,100.0,0.0,0.8479421883821487,0.21233947780126472,25.815611481666565,5.413512234503208,145.91145420074463,32.86424101880903,1174.0206832885742,260.3338283746087,100.0,0.0,0.16502867867221593,0.0267169580456762,5120.0,0.0,0.042236328125,0.0118112744353718,1.0,0.0,0.903125,0.01639495253030584,0.8052559771783285,0.07479045620784869,1.0,0.0,0.0,0.0,1.0,0.0,25.815611481666565,5.413512234503208,0.042236328125,0.0118112744353718,12.318612664937973,2.7218832153990666,18.875,29.147102281849072
variance_n2_cycle,100.0,0.0,0.8555286452174187,0.20912652195050982,25.940348267555237,5.392059985988449,146.8573923110962,34.33564903872632,1179.9050674438477,257.7719135631081,100.0,0.0,0.1660001003988798,0.02793536746819994,5120.0,0.0,0.041455078125,0.011966662465691983,1.0,0.0,0.9021240234375,0.0164123731332457,0.7850089010275931,0.07345313198062636,1.0,0.0,0.0,0.0,1.0,0.0,25.940348267555237,5.392059985988449,0.041455078125,0.011966662465691983,12.527777791023254,2.620002138977904,19.0,29.40845359513388
variance_n3_cycle,100.0,0.0,0.8681828454136848,0.18714084112464413,26.220117211341858,5.3907000768199635,148.6537218093872,35.4897671045928,1189.1309432983398,255.21136110194746,100.0,0.0,0.16796422015762552,0.02925294712124436,5120.0,0.0,0.040771484375,0.012014383868825269,1.0,0.0,0.900341796875,0.01631356352046749,0.773447154724776,0.06751845403508713,1.0,0.0,0.0,0.0,1.0,0.0,26.220117211341858,5.3907000768199635,0.040771484375,0.012014383868825269,12.376102477312088,2.7075531258012107,12.25,23.21791180471294
variance_n5_cycle,100.0,0.0,0.8636051565408707,0.15730106882871164,26.107419848442078,5.524237806879253,148.5626573562622,40.60698931444514,1186.739875793457,256.36649584973117,100.0,0.0,0.16744391847860826,0.03252094930736002,5120.0,0.0,0.040844726562499996,0.011910831629766808,1.0,0.0,0.9013916015625,0.016875025027624873,0.8007574821237968,0.09216833684524588,1.0,0.0,0.0,0.0,1.0,0.0,26.107419848442078,5.524237806879253,0.040844726562499996,0.011910831629766808,12.46824735403061,2.7509952515879994,11.375,21.520339216657344
extremes_n1_cycle,100.0,0.0,0.6126142963767052,0.12002550178959366,17.125508069992065,8.044729079537918,89.85897445678711,30.881231693995264,808.7175788879395,387.44255013320605,99.99755859375,0.006905339660024878,0.10443511556008264,0.04018600599801506,5119.875,0.3535533905932738,0.0808837890625,0.07557461281644755,1.0,0.0,0.9420166015625,0.02976933722559999,0.6133275130900111,0.30920920022319465,1.0,0.0,2.441406250000555e-05,6.905339660026449e-05,1.0,0.0,17.125508069992065,8.044729079537918,0.0808837890625,0.07557461281644755,1.2845840156078339,0.4000578265831581,104.5,42.68154502492015
extremes_n2_cycle,100.0,0.0,0.5880221836268902,0.15201253731929923,17.09114161133766,7.503423335753981,90.94212317466736,30.6618775626152,801.3534622192383,365.42418970968527,100.0,0.0,0.10507214316313532,0.03792929219930926,5120.0,0.0,0.083837890625,0.087266743437287,1.0,0.0,0.940966796875,0.024909755768429392,0.6403025894656433,0.3123597821632619,1.0,0.0,0.0,0.0,1.0,0.0,17.09114161133766,7.503423335753981,0.083837890625,0.087266743437287,1.2768823206424713,0.2278934075942413,111.75,38.647675960435926
