Algorithm,Rank,CompositeScore,ShownInCombinedPlot,Keane_Validity,Keane_Proximity,Keane_Compactness,N_Samples,mean_autocorr_preservation,mean_boundary_distance,mean_class_confidence,mean_l0_norm,mean_l2_distance,mean_manhattan_distance,mean_normalized_distance,mean_percentage_changed,mean_prediction_change,mean_range_validity,mean_segment_sparsity,mean_statistical_similarity,mean_temporal_consistency,evalpy_validity,evalpy_l2_distance,evalpy_euclidean_dist_zscore,evalpy_manhattan_distance,evalpy_normalized_distance,evalpy_dtw_distance,evalpy_l0_norm,evalpy_pct_changed,evalpy_sparsity,evalpy_compactness,evalpy_temporal_consistency,evalpy_autocorr_preservation,evalpy_range_validity,evalpy_keane_validity,evalpy_keane_proximity,evalpy_keane_compactness,evalpy_N_Samples,Runtime_Mean_Seconds,Runtime_Std_Seconds,Runtime_N_Attempts
TSCF,1.0,0.8415226932361793,True,1.0,1.9195631340523154,0.4652,5.0,1.0,1.475,0.724,500.0,1.92,14.75,0.363,1.0,1.0,0.949,1.0,0.302,1.0,1.0,1.9196,1.9215,14.7504,0.0162,1.4666,500.0,1.0,0.0,0.4652,1.0,0.9999,0.9488,1.0,1.9196,0.4652,5.0,2.484872212074697,1.1512044166083828,10
AB-CF,2.0,0.8329626015200479,True,1.0,18.12147943785547,0.434,10.0,0.984,14.582,0.662,285.0,18.121,253.182,1.0,0.57,1.0,0.951,,0.223,1.0,1.0,18.1215,18.1396,253.182,0.1547,7.826,285.0,0.57,0.43,0.434,1.0,0.9839,0.9508,1.0,18.1215,0.434,10.0,0.01335228541865945,0.0047384065617438005,10
FFT-CF,3.0,0.8321415570877772,True,1.0,13.310868931873651,0.013799999999999998,10.0,0.984,11.379,0.662,500.0,13.311,236.158,1.0,1.0,1.0,0.982,1.0,0.306,1.0,1.0,13.3109,13.3242,236.1583,0.1125,7.5884,500.0,1.0,0.0,0.0138,1.0,0.9839,0.9822,1.0,13.3109,0.0138,10.0,0.04296539099887013,0.013070024958062157,10
Abstract-CF,4.0,0.8315869392652349,True,1.0,10.450937771857427,0.019666666666666666,6.0,1.0,8.898,0.691,500.0,10.451,186.592,1.0,1.0,1.0,0.927,1.0,0.265,1.0,1.0,10.4509,10.4614,186.5921,0.0892,8.6987,500.0,1.0,0.0,0.0197,1.0,0.9996,0.9273,1.0,10.4509,0.0197,6.0,0.06300221849232912,0.03572100516216989,10
IMFACT,5.0,0.8311021013157651,True,1.0,14.584210221294171,0.0142,10.0,0.991,14.071,0.586,500.0,14.584,258.011,1.0,1.0,1.0,0.999,1.0,0.0,1.0,1.0,14.5842,14.5988,258.0111,0.1226,9.0867,500.0,1.0,0.0,0.0142,1.0,0.991,0.999,1.0,14.5842,0.0142,10.0,0.08053999673575163,0.01336068071928546,10
COMTE-Distractor,6.0,0.8309451271198018,True,1.0,15.60390012546647,0.631,10.0,0.995,11.847,0.707,185.0,15.604,175.932,1.0,0.37,1.0,0.945,1.0,0.153,1.0,1.0,15.6039,15.6195,175.9318,0.1331,6.6854,185.0,0.37,0.63,0.631,1.0,0.9948,0.9448,1.0,15.6039,0.631,10.0,0.08622252428904176,0.023129467884219834,10
TS-Tweaking-Irrev,7.0,0.8309337600912643,True,1.0,15.927764497179876,0.30119999999999997,10.0,0.991,13.331,0.64,353.1,15.928,241.311,1.0,0.706,1.0,0.919,1.0,0.198,1.0,1.0,15.9278,15.9437,241.3113,0.1373,7.8206,353.1,0.7062,0.2938,0.3012,1.0,0.9905,0.919,1.0,15.9278,0.3012,10.0,0.08663409855216742,0.007305036419694613,10
CGM-Simple,8.0,0.8278084208046911,True,1.0,26.76172475750376,0.0145,8.0,0.979,15.423,0.723,500.0,26.762,460.902,1.0,1.0,1.0,0.96,1.0,0.478,1.0,1.0,26.7617,26.7885,460.9025,0.2329,9.5361,500.0,1.0,0.0,0.0145,1.0,0.9785,0.9602,1.0,26.7617,0.0145,8.0,0.2002243172377348,0.22964591653557656,10
Multi-SpaCE,9.0,0.8273218260084517,True,1.0,12.19372080913569,0.7182222222222222,9.0,0.997,9.027,0.719,142.0,12.194,116.716,1.0,0.284,1.0,0.956,1.0,0.247,1.0,1.0,12.1937,12.2059,116.7161,0.1017,6.3247,142.0,0.284,0.716,0.7182,1.0,0.9969,0.9558,1.0,12.1937,0.7182,9.0,0.21798677863553167,0.1903061100050874,10
Wachter Gradient,10.0,0.8265189480699369,True,1.0,26.002146482832984,0.0154,10.0,0.989,15.815,0.671,500.0,26.002,440.869,1.0,1.0,1.0,0.959,1.0,0.2,1.0,1.0,26.0021,26.0282,440.8685,0.224,9.9336,500.0,1.0,0.0,0.0154,1.0,0.9893,0.9588,1.0,26.0021,0.0154,10.0,0.24734043711796402,0.4025539238413476,10
Native Guide,11.0,0.8248143722545802,False,1.0,15.84708996124201,0.4988,10.0,0.993,13.142,0.589,252.9,15.847,197.651,1.0,0.506,1.0,0.946,1.0,0.452,1.0,1.0,15.8471,15.863,197.651,0.1343,6.632,252.9,0.5058,0.4942,0.4988,1.0,0.9933,0.9464,1.0,15.8471,0.4988,10.0,0.30985012017190455,0.25653684642288693,10
InfoCELS,12.0,0.8232870178087117,False,1.0,6.613028395176587,0.6172500000000001,8.0,0.995,5.219,0.729,240.375,6.613,66.153,0.916,0.481,1.0,0.968,1.0,0.502,1.0,1.0,6.613,6.6197,66.1532,0.0568,3.5563,240.375,0.4808,0.5192,0.6173,1.0,0.9949,0.968,1.0,6.613,0.6173,8.0,0.6323385830968619,0.044407805069671194,10
NG-DBA,13.0,0.8200091788114876,False,1.0,22.309530749523162,0.05960000000000001,10.0,0.986,15.544,0.729,473.6,22.31,396.559,1.0,0.947,1.0,0.978,1.0,0.209,1.0,1.0,22.3095,22.3319,396.5586,0.1907,5.2798,473.6,0.9472,0.0528,0.0596,1.0,0.9859,0.9784,1.0,22.3095,0.0596,10.0,0.4874636113643646,0.5551721418106902,10
TS-Tweaking-Rev,14.0,0.8200010917334282,False,1.0,10.134535518547276,0.5115555555555555,9.0,0.995,9.84,0.565,247.111,10.135,130.257,1.0,0.494,1.0,0.959,1.0,0.422,1.0,1.0,10.1345,10.1447,130.2568,0.0857,5.1164,247.1111,0.4942,0.5058,0.5116,1.0,0.995,0.9593,1.0,10.1345,0.5116,9.0,0.4877642871811986,0.13967923669746868,10
CONFETTI,15.0,0.8192673767285769,False,1.0,11.693703474635614,0.7577999999999999,10.0,0.991,8.756,0.683,121.7,11.694,107.59,1.0,0.243,1.0,0.945,1.0,0.391,1.0,1.0,11.6937,11.7054,107.5904,0.0997,7.3706,121.7,0.2434,0.7566,0.7578,1.0,0.9911,0.9454,1.0,11.6937,0.7578,10.0,0.5150683526881039,0.020962594846532883,10
FASTPACE,16.0,0.8188010537794358,False,1.0,15.885772575907819,0.6007999999999999,10.0,0.991,12.087,0.721,200.6,15.886,186.433,1.0,0.401,1.0,0.96,1.0,0.083,1.0,1.0,15.8858,15.9017,186.4326,0.1346,7.7573,200.6,0.4012,0.5988,0.6008,1.0,0.9915,0.9598,1.0,15.8858,0.6008,10.0,0.5324472710490227,0.1421194742542258,10
Multi-SpaCE-Canonical,17.0,0.8175926907122039,False,1.0,7.58499686859083,0.9325714285714285,7.0,0.999,7.273,0.569,34.0,7.585,38.663,0.989,0.068,1.0,0.959,1.0,0.405,1.0,1.0,7.585,7.5926,38.6633,0.066,3.6351,34.0,0.068,0.932,0.9326,1.0,0.9995,0.9594,1.0,7.585,0.9326,7.0,0.6113941217772663,0.07656109042724019,10
CELS,18.0,0.8169981152162554,False,1.0,22.312172693650897,0.19955555555555557,9.0,0.988,11.14,0.731,402.111,22.312,373.559,1.0,0.804,1.0,0.938,,0.467,1.0,1.0,22.3122,22.3345,373.5587,0.1905,9.5748,402.1111,0.8042,0.1958,0.1996,1.0,0.9885,0.9384,1.0,22.3122,0.1996,9.0,0.5998257944360376,0.08372490865135361,10
GLACIER,19.0,0.8166485786078741,False,1.0,9.49676790752751,0.32260000000000005,10.0,0.994,7.053,0.73,499.9,9.497,113.169,1.0,1.0,1.0,0.977,1.0,0.258,1.0,1.0,9.4968,9.5063,113.1686,0.0807,5.353,499.9,0.9998,0.0002,0.3226,1.0,0.9944,0.9772,1.0,9.4968,0.3226,10.0,0.6129229326732457,0.044426146309990505,10
Latent-CF,20.0,0.8166428158288696,False,1.0,16.788734314127193,0.010666666666666666,6.0,0.98,11.709,0.731,500.0,16.789,304.112,1.0,1.0,1.0,0.998,1.0,0.003,1.0,1.0,16.7887,16.8055,304.1117,0.1429,10.6802,500.0,1.0,0.0,0.0107,1.0,0.9802,0.998,1.0,16.7887,0.0107,6.0,0.6131389579735697,0.31783465384106224,10
SPARCE-GAN,21.0,0.8150408675700294,False,1.0,6.3501134418899845,0.516,1.0,1.0,4.597,0.731,252.0,6.35,80.012,1.0,0.504,1.0,0.944,1.0,0.501,1.0,1.0,6.3501,6.3565,80.0122,0.056,5.2936,252.0,0.504,0.496,0.516,1.0,1.0,0.944,1.0,6.3501,0.516,1.0,0.6733085354790092,0.14437699055062075,10
TS-Tweaking-kNN,22.0,0.8056572585322512,False,1.0,16.471931105992404,0.007333333333333333,6.0,0.999,16.034,0.561,500.0,16.472,298.951,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,16.4719,16.4884,298.9507,0.1405,15.3117,500.0,1.0,0.0,0.0073,1.0,0.9995,1.0,1.0,16.4719,0.0073,6.0,1.0305650886148214,0.04722776297261755,10
TSEvo,23.0,0.8032529447718111,False,1.0,27.754130376627835,0.011800000000000001,10.0,0.983,11.157,0.731,500.0,27.754,481.969,1.0,1.0,1.0,0.951,1.0,0.461,1.0,1.0,27.7541,27.7819,481.9686,0.2367,12.7392,500.0,1.0,0.0,0.0118,1.0,0.9828,0.9512,1.0,27.7541,0.0118,10.0,1.1234464345499873,0.049227785194560364,10
CFWOT,24.0,0.8013857939257093,False,1.0,31.006649522898556,0.36833333333333335,6.0,1.0,28.352,0.645,315.833,31.007,436.77,1.0,0.632,1.0,0.784,1.0,0.0,1.0,1.0,31.0066,31.0377,436.7696,0.2631,20.8559,315.8333,0.6317,0.3683,0.3683,1.0,0.9999,0.7837,1.0,31.0066,0.3683,6.0,1.1959610333666206,0.6639069497245508,10
TimeX,25.0,0.7341224731899345,False,1.0,11.102350598032348,0.06525,8.0,0.998,5.553,0.731,500.0,11.102,193.744,1.0,1.0,1.0,0.989,1.0,0.0,1.0,1.0,11.1024,11.1135,193.7443,0.0945,5.6654,500.0,1.0,0.0,0.0652,1.0,0.9978,0.9892,1.0,11.1024,0.0652,8.0,4.054263304825872,1.4180791467223486,10
TimeX++,26.0,0.6657212139715756,False,1.0,12.398736408268224,0.013714285714285715,7.0,0.989,9.031,0.699,500.0,12.399,217.324,1.0,1.0,1.0,0.948,1.0,0.0,1.0,1.0,12.3987,12.4112,217.324,0.106,8.8198,500.0,1.0,0.0,0.0137,1.0,0.9885,0.9477,1.0,12.3987,0.0137,7.0,7.553257242403925,0.26303764059230905,10
